Transplant Year,Age Group,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
2021,All Recipient Ages,"41,356","21,354","9,252","7,500",0,"2,467",322,154,307
2021,< 1 Year,257,130,52,49,0,11,4,0,11
2021,1-5 Years,511,272,94,95,0,36,1,0,13
2021,6-10 Years,288,142,39,88,0,11,2,1,5
2021,11-17 Years,834,383,145,235,0,38,10,4,19
2021,18-34 Years,"4,407","1,884","1,054","1,158",0,217,32,24,38
2021,35-49 Years,"9,453","4,172","2,559","1,897",0,604,97,45,79
2021,50-64 Years,"16,711","8,758","3,814","2,851",0,996,129,57,106
2021,65 +,"8,895","5,613","1,495","1,127",0,554,47,23,36
2020,All Recipient Ages,"39,036","20,988","8,417","6,681",0,"2,237",281,152,280
2020,< 1 Year,280,131,55,73,0,15,2,1,3
2020,1-5 Years,477,224,93,109,0,28,5,2,16
2020,6-10 Years,274,123,55,73,0,16,2,0,5
2020,11-17 Years,735,343,149,184,0,38,8,3,10
2020,18-34 Years,"3,964","1,833",902,945,0,204,28,22,30
2020,35-49 Years,"8,719","3,934","2,341","1,648",0,594,89,36,77
2020,50-64 Years,"15,897","8,732","3,446","2,611",0,848,103,56,101
2020,65 +,"8,690","5,668","1,376","1,038",0,494,44,32,38
2019,All Recipient Ages,"39,719","21,639","8,332","6,811",0,"2,222",271,132,312
2019,< 1 Year,300,145,54,72,0,19,1,1,8
2019,1-5 Years,505,261,78,125,0,21,5,4,11
2019,6-10 Years,347,178,56,92,0,16,1,2,2
2019,11-17 Years,771,399,156,175,0,17,6,4,14
2019,18-34 Years,"4,174","1,960",921,976,0,214,35,20,48
2019,35-49 Years,"8,713","4,004","2,277","1,673",0,564,70,32,93
2019,50-64 Years,"16,294","9,086","3,413","2,659",0,870,120,46,100
2019,65 +,"8,615","5,606","1,377","1,039",0,501,33,23,36
2018,All Recipient Ages,"36,530","20,136","7,541","6,084",0,"2,084",284,124,277
2018,< 1 Year,278,122,51,67,0,22,3,4,9
2018,1-5 Years,537,285,87,126,0,25,5,3,6
2018,6-10 Years,331,163,57,84,0,15,1,1,10
2018,11-17 Years,749,358,137,201,0,35,1,6,11
2018,18-34 Years,"3,800","1,854",778,898,0,198,31,7,34
2018,35-49 Years,"8,057","3,781","2,134","1,454",0,517,69,35,67
2018,50-64 Years,"15,005","8,544","3,053","2,298",0,823,129,56,102
2018,65 +,"7,773","5,029","1,244",956,0,449,45,12,38
2017,All Recipient Ages,"34,770","19,527","7,286","5,484",0,"1,889",269,111,204
2017,< 1 Year,249,119,45,57,0,14,4,3,7
2017,1-5 Years,575,294,95,132,0,32,2,4,16
2017,6-10 Years,292,155,55,66,0,9,3,0,4
2017,11-17 Years,783,380,148,202,0,30,5,5,13
2017,18-34 Years,"3,695","1,871",786,775,0,192,25,15,31
2017,35-49 Years,"7,785","3,723","2,083","1,352",0,478,77,23,49
2017,50-64 Years,"14,643","8,537","3,000","2,127",0,749,119,44,67
2017,65 +,"6,748","4,448","1,074",773,0,385,34,17,17
2016,All Recipient Ages,"33,610","18,799","7,061","5,448",0,"1,738",230,123,211
2016,< 1 Year,293,133,49,75,0,19,3,1,13
2016,1-5 Years,543,266,97,133,0,33,3,2,9
2016,6-10 Years,302,156,57,64,0,16,1,2,6
2016,11-17 Years,740,383,126,190,0,26,4,5,6
2016,18-34 Years,"3,744","1,866",839,795,0,178,19,16,31
2016,35-49 Years,"7,526","3,641","1,997","1,306",0,427,62,34,59
2016,50-64 Years,"14,242","8,260","2,881","2,183",0,701,110,49,58
2016,65 +,"6,220","4,094","1,015",702,0,338,28,14,29
2015,All Recipient Ages,"30,974","17,174","6,760","4,862",0,"1,650",256,119,153
2015,< 1 Year,256,136,39,58,0,12,2,2,7
2015,1-5 Years,605,311,93,147,0,28,12,5,9
2015,6-10 Years,332,171,57,80,0,15,3,2,4
2015,11-17 Years,707,364,126,164,0,41,1,2,9
2015,18-34 Years,"3,628","1,760",814,783,0,199,24,22,26
2015,35-49 Years,"7,175","3,388","2,038","1,187",0,424,64,39,35
2015,50-64 Years,"12,917","7,538","2,726","1,843",0,605,119,36,50
2015,65 +,"5,354","3,506",867,600,0,326,31,11,13
2014,All Recipient Ages,"29,540","17,313","5,946","4,272",1,"1,542",232,100,134
2014,< 1 Year,280,150,46,68,0,6,4,0,6
2014,1-5 Years,503,251,89,112,0,30,5,1,15
2014,6-10 Years,284,148,50,62,0,17,2,3,2
2014,11-17 Years,728,392,137,153,0,24,8,3,11
2014,18-34 Years,"3,149","1,683",659,612,0,148,22,13,12
2014,35-49 Years,"6,412","3,264","1,666","1,002",1,374,55,28,22
2014,50-64 Years,"12,790","7,813","2,448","1,669",0,659,106,45,50
2014,65 +,"5,394","3,612",851,594,0,284,30,7,16
2013,All Recipient Ages,"28,956","17,124","5,802","4,186",1,"1,439",190,106,108
2013,< 1 Year,260,135,38,71,0,10,1,2,3
2013,1-5 Years,545,292,78,131,0,26,5,6,7
2013,6-10 Years,295,149,55,75,0,12,1,0,3
2013,11-17 Years,718,368,155,159,0,19,7,3,7
2013,18-34 Years,"3,081","1,653",687,550,0,149,17,8,17
2013,35-49 Years,"6,310","3,266","1,636",985,1,326,45,25,26
2013,50-64 Years,"12,677","7,771","2,416","1,708",0,619,86,43,34
2013,65 +,"5,070","3,490",737,507,0,278,28,19,11
2012,All Recipient Ages,"28,059","16,723","5,586","3,978",6,"1,400",193,69,104
2012,< 1 Year,277,159,45,51,0,17,0,1,4
2012,1-5 Years,519,285,93,108,0,21,3,1,8
2012,6-10 Years,281,143,49,66,0,18,1,1,3
2012,11-17 Years,696,374,112,174,1,19,9,0,7
2012,18-34 Years,"3,105","1,642",682,577,1,159,20,8,16
2012,35-49 Years,"6,390","3,327","1,588","1,017",3,353,55,24,23
2012,50-64 Years,"12,156","7,577","2,346","1,545",1,547,81,26,33
2012,65 +,"4,635","3,216",671,440,0,266,24,8,10
2011,All Recipient Ages,"28,553","16,968","5,860","3,975",13,"1,343",195,68,131
2011,< 1 Year,281,171,35,47,0,13,7,2,6
2011,1-5 Years,514,274,94,111,4,19,1,3,8
2011,6-10 Years,273,153,48,57,0,13,1,1,0
2011,11-17 Years,730,344,148,200,0,25,4,2,7
2011,18-34 Years,"3,054","1,642",682,537,5,144,21,8,15
2011,35-49 Years,"6,609","3,503","1,704",991,1,316,45,20,29
2011,50-64 Years,"12,575","7,829","2,477","1,537",2,564,89,27,50
2011,65 +,"4,517","3,052",672,495,1,249,27,5,16
2010,All Recipient Ages,"28,668","17,116","5,953","3,859",6,"1,309",201,82,142
2010,< 1 Year,290,167,40,62,0,13,1,1,6
2010,1-5 Years,500,257,92,118,0,22,1,4,6
2010,6-10 Years,300,158,48,75,0,15,1,1,2
2010,11-17 Years,735,349,162,180,0,31,5,2,6
2010,18-34 Years,"3,226","1,779",692,583,2,123,19,9,19
2010,35-49 Years,"6,895","3,644","1,889",914,1,334,48,33,32
2010,50-64 Years,"12,424","7,817","2,386","1,500",1,537,99,24,60
2010,65 +,"4,296","2,945",644,427,0,234,27,8,11
2010,Unknown,2,0,0,0,2,0,0,0,0
2009,All Recipient Ages,"28,463","17,284","5,698","3,816",4,"1,266",195,80,120
2009,< 1 Year,329,161,61,78,0,14,1,2,12
2009,1-5 Years,592,301,113,135,1,29,2,4,7
2009,6-10 Years,315,186,53,60,0,10,2,0,4
2009,11-17 Years,781,422,136,176,0,26,5,7,9
2009,18-34 Years,"3,221","1,761",735,550,0,134,19,11,11
2009,35-49 Years,"6,967","3,878","1,692",990,0,303,56,25,23
2009,50-64 Years,"12,238","7,809","2,305","1,437",1,527,89,24,46
2009,65 +,"4,018","2,766",603,390,0,223,21,7,8
2009,Unknown,2,0,0,0,2,0,0,0,0
2008,All Recipient Ages,"27,967","17,012","5,474","3,812",3,"1,267",224,90,85
2008,< 1 Year,343,174,60,77,0,12,8,5,7
2008,1-5 Years,565,291,119,123,0,19,6,6,1
2008,6-10 Years,304,169,40,75,0,16,0,0,4
2008,11-17 Years,751,392,141,181,0,22,6,3,6
2008,18-34 Years,"3,263","1,756",740,573,1,149,23,11,10
2008,35-49 Years,"6,976","3,937","1,644",983,2,320,53,20,17
2008,50-64 Years,"12,093","7,774","2,168","1,442",0,542,102,36,29
2008,65 +,"3,672","2,519",562,358,0,187,26,9,11
2007,All Recipient Ages,"28,366","17,574","5,462","3,751",0,"1,235",180,77,87
2007,< 1 Year,343,180,55,77,0,20,2,4,5
2007,1-5 Years,547,291,95,118,0,29,6,2,6
2007,6-10 Years,273,146,50,63,0,12,0,1,1
2007,11-17 Years,793,406,161,186,0,31,7,1,1
2007,18-34 Years,"3,351","1,778",803,588,0,133,23,14,12
2007,35-49 Years,"7,453","4,373","1,705",964,0,321,53,17,20
2007,50-64 Years,"12,105","7,987","2,078","1,403",0,500,76,31,30
2007,65 +,"3,501","2,413",515,352,0,189,13,7,12
2006,All Recipient Ages,"28,941","18,061","5,587","3,698",1,"1,181",222,76,115
2006,< 1 Year,315,168,52,71,0,17,1,0,6
2006,1-5 Years,518,290,89,103,0,17,6,0,13
2006,6-10 Years,274,144,53,62,0,9,2,0,4
2006,11-17 Years,875,452,188,183,0,37,8,3,4
2006,18-34 Years,"3,625","1,974",821,624,0,148,29,11,18
2006,35-49 Years,"7,745","4,566","1,729","1,026",0,308,66,20,30
2006,50-64 Years,"12,157","8,046","2,184","1,307",1,467,88,32,32
2006,65 +,"3,432","2,421",471,322,0,178,22,10,8
2005,All Recipient Ages,"28,119","17,820","5,249","3,499",1,"1,148",184,103,115
2005,< 1 Year,295,167,57,56,0,11,0,0,4
2005,1-5 Years,498,273,82,112,0,13,5,3,10
2005,6-10 Years,307,193,41,57,0,13,0,0,3
2005,11-17 Years,864,475,181,163,0,25,6,5,9
2005,18-34 Years,"3,659","2,015",883,552,1,160,22,11,15
2005,35-49 Years,"7,801","4,714","1,695",980,0,295,54,33,30
2005,50-64 Years,"11,535","7,768","1,887","1,249",0,478,78,40,35
2005,65 +,"3,160","2,215",423,330,0,153,19,11,9
2004,All Recipient Ages,"27,042","17,244","4,924","3,414",1,"1,081",203,91,84
2004,< 1 Year,273,135,58,55,0,14,2,2,7
2004,1-5 Years,501,281,83,103,0,17,3,3,11
2004,6-10 Years,270,147,47,58,0,13,1,0,4
2004,11-17 Years,772,409,160,168,0,23,8,0,4
2004,18-34 Years,"3,770","2,092",866,597,0,150,32,22,11
2004,35-49 Years,"7,946","4,984","1,533","1,012",1,314,52,30,20
2004,50-64 Years,"10,821","7,306","1,799","1,157",0,427,81,29,22
2004,65 +,"2,689","1,890",378,264,0,123,24,5,5
2003,All Recipient Ages,"25,475","16,418","4,633","3,145",3,928,191,103,54
2003,< 1 Year,261,156,27,61,0,8,3,2,4
2003,1-5 Years,461,276,69,90,0,14,4,3,5
2003,6-10 Years,290,169,52,53,0,9,2,3,2
2003,11-17 Years,784,427,171,143,0,29,7,5,2
2003,18-34 Years,"3,532","2,000",814,542,2,130,24,14,6
2003,35-49 Years,"7,734","4,931","1,475",973,0,247,56,35,17
2003,50-64 Years,"10,000","6,730","1,703","1,058",1,387,73,35,13
2003,65 +,"2,413","1,729",322,225,0,104,22,6,5
2002,< 1 Year,255,157,31,54,0,7,3,0,3
2002,1-5 Years,477,256,94,102,0,19,2,2,2
2002,6-10 Years,279,163,47,60,1,5,2,0,1
2002,11-17 Years,746,447,131,127,2,21,7,6,5
2002,18-34 Years,"3,585","2,030",814,568,1,139,14,13,6
2002,35-49 Years,"7,868","5,189","1,473",871,4,242,50,30,9
2002,50-64 Years,"9,537","6,605","1,503",987,1,333,69,33,6
2002,65 +,"2,168","1,523",277,235,0,106,18,7,2
2002,Unknown,1,0,0,0,1,0,0,0,0
2001,< 1 Year,269,143,49,62,1,12,0,0,2
2001,1-5 Years,492,279,89,99,1,20,2,2,0
2001,6-10 Years,245,144,46,45,0,6,3,0,1
2001,11-17 Years,726,417,121,160,0,20,6,1,1
2001,18-34 Years,"3,707","2,165",833,524,0,146,18,20,1
2001,35-49 Years,"7,779","5,161","1,431",844,1,254,52,35,1
2001,50-64 Years,"9,151","6,435","1,446",890,1,281,70,28,0
2001,65 +,"1,874","1,365",253,158,0,81,12,5,0
2000,< 1 Year,268,156,38,58,0,12,1,3,0
2000,1-5 Years,403,244,74,66,0,13,1,5,0
2000,6-10 Years,284,166,53,60,0,4,1,0,0
2000,11-17 Years,652,390,120,116,0,23,2,1,0
2000,18-34 Years,"3,559","2,140",749,486,0,145,22,15,2
2000,35-49 Years,"7,860","5,302","1,395",836,0,237,58,31,1
2000,50-64 Years,"8,428","5,935","1,304",813,0,269,74,31,2
2000,65 +,"1,820","1,363",226,162,0,53,12,3,1
1999,< 1 Year,275,176,48,40,0,6,4,0,1
1999,1-5 Years,409,250,67,71,0,17,2,0,2
1999,6-10 Years,279,184,45,44,0,3,3,0,0
1999,11-17 Years,700,432,151,94,0,12,9,2,0
1999,18-34 Years,"3,538","2,054",838,489,0,123,24,10,0
1999,35-49 Years,"7,516","5,211","1,261",723,1,232,57,31,0
1999,50-64 Years,"7,794","5,531","1,186",721,0,260,73,23,0
1999,65 +,"1,519","1,145",188,127,0,39,12,8,0
1998,< 1 Year,291,197,35,48,0,7,1,2,1
1998,1-5 Years,391,218,90,65,0,13,3,2,0
1998,6-10 Years,313,201,50,52,0,5,3,2,0
1998,11-17 Years,661,419,129,83,0,16,8,6,0
1998,18-34 Years,"3,604","2,208",779,486,0,95,16,19,1
1998,35-49 Years,"7,383","5,025","1,286",747,2,237,55,31,0
1998,50-64 Years,"7,414","5,285","1,104",698,2,257,55,13,0
1998,65 +,"1,469","1,119",175,117,0,44,9,5,0
1997,< 1 Year,278,186,24,51,0,10,2,5,0
1997,1-5 Years,450,290,71,69,0,15,2,3,0
1997,6-10 Years,275,165,55,45,0,6,2,2,0
1997,11-17 Years,647,410,135,77,0,13,6,6,0
1997,18-34 Years,"3,550","2,239",734,415,0,130,17,15,0
1997,35-49 Years,"7,086","4,889","1,237",669,0,228,41,22,0
1997,50-64 Years,"6,811","4,910","1,075",573,2,178,48,25,0
1997,65 +,"1,219",965,133,77,0,37,4,3,0
1996,< 1 Year,246,152,49,37,0,7,1,0,0
1996,1-5 Years,416,272,70,60,0,10,1,3,0
1996,6-10 Years,273,172,45,45,0,7,4,0,0
1996,11-17 Years,662,395,139,102,0,18,7,1,0
1996,18-34 Years,"3,546","2,286",726,414,0,83,22,15,0
1996,35-49 Years,"7,036","4,909","1,249",591,0,203,61,22,1
1996,50-64 Years,"6,442","4,660",962,559,1,185,54,20,1
1996,65 +,"1,144",903,124,79,0,32,5,1,0
1995,< 1 Year,227,162,14,39,0,11,0,1,0
1995,1-5 Years,395,245,66,67,0,14,3,0,0
1995,6-10 Years,292,184,49,47,0,6,6,0,0
1995,11-17 Years,697,427,130,106,0,19,13,2,0
1995,18-34 Years,"3,677","2,326",753,468,0,91,23,15,1
1995,35-49 Years,"6,917","4,756","1,219",690,2,178,55,17,0
1995,50-64 Years,"6,177","4,552",849,562,0,160,44,9,1
1995,65 +,"1,014",794,94,102,0,19,3,2,0
1994,< 1 Year,262,171,40,42,0,7,2,0,0
1994,1-5 Years,405,249,74,69,0,10,2,1,0
1994,6-10 Years,260,186,34,34,0,3,2,1,0
1994,11-17 Years,630,399,125,80,0,16,8,2,0
1994,18-34 Years,"3,710","2,367",759,413,5,120,35,11,0
1994,35-49 Years,"6,488","4,494","1,176",571,4,184,42,17,0
1994,50-64 Years,"5,722","4,212",855,428,6,143,61,17,0
1994,65 +,822,654,77,59,0,21,5,6,0
1993,< 1 Year,235,175,22,34,1,3,0,0,0
1993,1-5 Years,450,292,83,62,0,8,5,0,0
1993,6-10 Years,266,172,40,45,0,5,4,0,0
1993,11-17 Years,582,365,113,81,0,14,8,1,0
1993,18-34 Years,"3,806","2,563",702,409,5,96,22,9,0
1993,35-49 Years,"6,103","4,318","1,049",536,7,152,30,11,0
1993,50-64 Years,"5,441","4,105",753,396,5,141,35,6,0
1993,65 +,748,629,59,38,2,15,5,0,0
1992,< 1 Year,233,155,32,38,1,4,2,1,0
1992,1-5 Years,390,229,64,76,2,13,6,0,0
1992,6-10 Years,221,158,33,21,0,6,3,0,0
1992,11-17 Years,535,345,93,75,0,16,5,1,0
1992,18-34 Years,"3,616","2,414",693,364,3,106,22,14,0
1992,35-49 Years,"5,699","3,975","1,012",480,2,186,32,12,0
1992,50-64 Years,"4,773","3,636",599,353,3,137,35,10,0
1992,65 +,667,551,44,50,2,15,5,0,0
1991,< 1 Year,285,205,31,40,0,4,1,3,1
1991,1-5 Years,384,263,62,50,0,5,3,1,0
1991,6-10 Years,262,173,46,32,0,6,4,1,0
1991,11-17 Years,525,367,79,64,0,8,6,1,0
1991,18-34 Years,"3,713","2,492",725,354,3,104,23,12,0
1991,35-49 Years,"5,564","4,023",915,441,11,139,24,11,0
1991,50-64 Years,"4,466","3,439",564,307,8,109,35,4,0
1991,65 +,557,471,40,23,0,16,5,2,0
1990,< 1 Year,241,185,25,26,3,1,1,0,0
1990,1-5 Years,364,234,79,38,3,9,1,0,0
1990,6-10 Years,239,169,39,22,2,5,1,0,1
1990,11-17 Years,552,373,84,78,3,8,4,1,1
1990,18-34 Years,"3,691","2,623",644,312,7,78,19,8,0
1990,35-49 Years,"5,316","3,795",935,413,8,132,25,8,0
1990,50-64 Years,"4,137","3,179",538,253,17,117,28,5,0
1990,65 +,461,403,24,22,0,9,3,0,0
1989,< 1 Year,202,156,21,18,0,6,0,0,1
1989,1-5 Years,342,210,62,50,2,16,1,1,0
1989,6-10 Years,228,155,37,26,0,6,3,1,0
1989,11-17 Years,481,290,100,71,0,15,4,1,0
1989,18-34 Years,"3,468","2,463",595,278,3,95,23,11,0
1989,35-49 Years,"4,701","3,418",793,335,4,99,48,4,0
1989,50-64 Years,"3,426","2,597",503,216,8,81,19,2,0
1989,65 +,292,250,25,8,0,7,2,0,0
1988,< 1 Year,130,98,19,9,0,3,0,1,0
1988,1-5 Years,312,200,48,50,2,12,0,0,0
1988,6-10 Years,215,155,33,23,1,1,1,1,0
1988,11-17 Years,539,356,103,62,3,11,4,0,0
1988,18-34 Years,"3,434","2,419",603,303,3,83,16,7,0
1988,35-49 Years,"4,483","3,196",838,291,5,109,43,1,0
1988,50-64 Years,"3,245","2,487",490,179,6,60,20,3,0
1988,65 +,265,219,28,11,1,4,2,0,0